Tap Times (s),Inter-Tap Interval (s),Amplitude (pixels)
1742108570.496885,,146.00342461736986
1742108571.037452,0.5405669212341309,133.09395177843356
1742108571.501215,0.4637629985809326,132.03408650799233
1742108572.045281,0.5440659523010254,132.09466302617983
1742108572.5697558,0.5244748592376709,135.09256086106296
1742108573.038157,0.4684011936187744,132.015150645674
1742108573.4401312,0.4019742012023926,131.0953851209111
1742108573.970569,0.530437707901001,145.01379244747721
1742108574.433662,0.4630930423736572,160.15305179733542
1742108574.968357,0.5346951484680176,80.39900496896712
1742108575.434622,0.4662649631500244,43.41658669218482
1742108575.970819,0.5361969470977783,38.91015291668744
1742108576.495328,0.5245089530944824,39.56008088970496
1742108577.0192242,0.5238962173461914,41.773197148410844
1742108577.556709,0.537484884262085,178.70926109186397
1742108578.090282,0.5335729122161865,289.0882218285622
