Flip Time (s),Hand,Inter-Flip Interval (s)
1742108625.257395,Left,
1742108625.795933,Left,0.5385379791259766
1742108626.400617,Left,0.6046838760375977
1742108626.874868,Left,0.47425103187561035
1742108627.3441122,Left,0.46924424171447754
1742108627.875488,Left,0.5313758850097656
1742108628.477976,Left,0.6024880409240723
1742108628.806495,Left,0.3285188674926758
1742108629.3930728,Left,0.5865778923034668
1742108629.728758,Left,0.33568525314331055
1742108630.3175838,Left,0.5888257026672363
1742108630.648459,Left,0.3308751583099365
1742108631.242641,Left,0.594182014465332
1742108631.573013,Left,0.3303720951080322
1742108632.162622,Left,0.589608907699585
1742108632.561546,Left,0.3989241123199463
1742108633.1642392,Left,0.6026930809020996
1742108633.561641,Left,0.3974018096923828
1742108634.0329652,Left,0.47132420539855957
1742108634.429213,Left,0.39624786376953125
1742108635.239489,Left,0.8102760314941406
1742108625.323989,Right,
1742108625.727011,Right,0.40302205085754395
1742108626.4003851,Right,0.6733741760253906
1742108626.87464,Right,0.474254846572876
1742108627.411874,Right,0.5372340679168701
1742108627.810575,Right,0.3987009525299072
1742108628.47776,Right,0.6671850681304932
1742108628.806239,Right,0.3284788131713867
1742108629.392859,Right,0.5866200923919678
1742108629.7914162,Right,0.398557186126709
1742108630.383699,Right,0.592282772064209
1742108630.7206788,Right,0.33697986602783203
1742108631.307213,Right,0.5865342617034912
1742108631.635552,Right,0.3283388614654541
1742108632.162364,Right,0.5268120765686035
1742108632.4969542,Right,0.33459019660949707
1742108633.1639922,Right,0.6670379638671875
1742108633.497117,Right,0.33312487602233887
1742108634.0984352,Right,0.6013181209564209
1742108634.496748,Right,0.3983128070831299
1742108635.162285,Right,0.6655371189117432
1742108635.5008671,Right,0.33858203887939453
